City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
145,Berck,FR,50.4,1.6,49.51,71,0,5.75,clear sky
146,Raudeberg,NO,61.9875,5.1352,46.87,74,100,9.08,overcast clouds
147,Araceli,PH,10.5529,119.9913,83.43,74,76,14.45,broken clouds
148,Kazachinskoye,RU,57.6953,93.2761,40.69,70,65,11.72,broken clouds
149,Valparaiso,CL,-33.0393,-71.6273,55.47,78,100,3.44,overcast clouds
150,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,74.89,98,99,2.04,overcast clouds
151,Qasigiannguit,GL,68.8193,-51.1922,16.05,92,100,6.35,overcast clouds
152,Ak-Dovurak,RU,51.1833,90.6,53.51,30,100,2.04,overcast clouds
153,Castro,BR,-24.7911,-50.0119,51.62,97,4,4.61,clear sky
154,Preeceville,CA,51.95,-102.6677,19.58,91,100,7.25,overcast clouds
155,Tuktoyaktuk,CA,69.4541,-133.0374,19.4,63,100,9.22,overcast clouds
156,Jaru,BR,-10.4389,-62.4664,72.66,96,100,3.42,overcast clouds
157,Metu,ET,8.3,35.5833,56.61,95,90,3.02,overcast clouds
158,Coquimbo,CL,-29.9533,-71.3436,55.13,94,75,5.75,broken clouds
159,Dese,ET,11.1333,39.6333,54.82,77,76,1.66,broken clouds
160,Noumea,NC,-22.2763,166.4572,82.99,99,36,8.25,scattered clouds
161,Inhambane,MZ,-23.865,35.3833,71.96,92,77,3.69,light rain
162,Carnarvon,AU,-24.8667,113.6333,69.87,78,92,13.8,overcast clouds
163,Saldanha,ZA,-33.0117,17.9442,55.45,75,42,9.71,scattered clouds
164,Hami,CN,42.8,93.45,61.18,13,0,5.86,clear sky
165,Cordoba,AR,-31.4135,-64.1811,62.76,68,0,8.05,clear sky
166,Fare,PF,-16.7,-151.0167,81.16,73,8,11.14,light rain
167,Wilmington,US,34.2257,-77.9447,61.86,69,100,4.0,overcast clouds
168,Vuktyl,RU,63.8567,57.3094,24.96,93,34,6.49,scattered clouds
169,Ostrovnoy,RU,68.0531,39.5131,33.01,93,100,7.61,overcast clouds
170,Skjervoy,NO,70.0311,20.9714,37.4,90,100,9.13,light rain
171,Korla,CN,41.7597,86.1469,60.44,13,0,5.08,clear sky
172,Avera,US,33.194,-82.5271,69.31,81,99,2.19,overcast clouds
173,Port Lincoln,AU,-34.7333,135.8667,61.95,67,100,8.55,overcast clouds
174,Alexandria,EG,31.2156,29.9553,65.97,76,99,13.49,overcast clouds
175,Kirksville,US,40.1948,-92.5833,33.06,98,100,9.22,mist
176,Campbell River,CA,50.0163,-125.2446,50.45,34,75,13.8,broken clouds
177,Araouane,ML,18.9048,-3.5265,72.39,25,0,10.85,clear sky
178,Tromso,NO,69.6496,18.957,42.82,75,100,14.97,light rain
179,Fairbanks,US,64.8378,-147.7164,41.09,25,0,6.91,clear sky
180,Ukiah,US,39.1502,-123.2078,66.09,34,0,8.05,clear sky
181,Ancud,CL,-41.8697,-73.8203,56.23,88,77,5.88,broken clouds
182,Sitka,US,57.0531,-135.33,46.29,53,75,5.75,broken clouds
183,Chuy,UY,-33.6971,-53.4616,62.04,81,100,6.58,overcast clouds
184,Qaanaaq,GL,77.484,-69.3632,-19.75,73,0,5.75,clear sky
185,Port Blair,IN,11.6667,92.75,77.04,94,20,0.0,mist
186,Margate,GB,51.3813,1.3862,51.69,71,36,1.01,scattered clouds
187,Poum,NC,-20.2333,164.0167,76.01,75,100,2.73,overcast clouds
188,Furth Im Wald,DE,49.3097,12.84,36.48,88,16,2.17,few clouds
189,Dikson,RU,73.5069,80.5464,-3.59,100,100,3.2,overcast clouds
190,Talnakh,RU,69.4865,88.3972,4.21,93,100,5.21,overcast clouds
191,Boa Vista,BR,2.8197,-60.6733,84.18,58,40,8.05,scattered clouds
192,Cockburn Town,TC,21.4612,-71.1419,78.08,85,72,22.57,broken clouds
193,Monrovia,LR,6.3005,-10.7969,78.24,82,93,2.1,overcast clouds
194,Huarmey,PE,-10.0681,-78.1522,67.26,84,7,8.43,clear sky
195,Berezovyy,RU,51.6667,135.7,37.13,68,97,4.43,overcast clouds
196,Muscat,OM,23.6139,58.5922,87.82,62,0,7.34,clear sky
197,Gravdal,NO,68.1214,13.5031,41.97,88,100,16.2,light rain
198,Acapulco,MX,16.8634,-99.8901,80.42,74,0,8.05,clear sky
199,Mareeba,AU,-17.0,145.4333,81.45,69,58,6.44,broken clouds
200,Segbwema,SL,7.9967,-10.9496,73.45,92,100,2.15,overcast clouds
201,Mabopane,ZA,-25.4977,28.1007,60.66,92,100,4.36,light rain
202,Carballo,ES,43.213,-8.691,56.75,94,100,7.34,overcast clouds
203,Vilyuysk,RU,63.7553,121.6247,31.46,98,100,9.75,snow
204,Malindi,KE,-3.2175,40.1191,79.68,85,100,11.36,light rain
205,Vao,NC,-22.6667,167.4833,76.98,71,25,5.66,scattered clouds
206,San Lazaro,BZ,18.0387,-88.6622,75.31,84,4,6.69,clear sky
207,Toamasina,MG,-18.1667,49.3833,71.6,94,20,2.3,few clouds
208,Gimli,CA,50.6336,-96.9907,24.82,93,100,10.36,overcast clouds
209,Port Shepstone,ZA,-30.7414,30.455,65.41,81,96,4.81,light rain
210,Vinh,VN,18.6667,105.6667,70.23,92,100,9.86,overcast clouds
211,Kodiak,US,57.79,-152.4072,40.51,65,100,13.8,overcast clouds
212,Kloulklubed,PW,7.0419,134.2556,82.9,73,100,4.16,overcast clouds
213,Sirumugai,IN,11.3333,77.0167,76.57,66,6,2.89,clear sky
214,Salvador,SV,13.8333,-88.9167,77.4,72,97,2.46,overcast clouds
215,Tiznit,MA,29.5833,-9.5,71.67,23,100,1.95,overcast clouds
216,Evensk,RU,61.95,159.2333,30.29,86,100,3.36,overcast clouds
217,Shenjiamen,CN,29.9576,122.298,56.8,67,100,4.85,overcast clouds
218,Sao Filipe,CV,14.8961,-24.4956,70.81,78,23,4.74,few clouds
219,Florianopolis,BR,-27.6146,-48.5012,67.41,82,20,4.61,few clouds
220,Siniscola,IT,40.5719,9.6922,54.95,69,17,14.07,few clouds
221,Smithers,CA,54.7804,-127.1743,48.52,18,40,3.44,scattered clouds
222,Wanning,CN,18.8003,110.3967,79.45,80,24,7.83,few clouds
223,Rio Grande,BR,-32.035,-52.0986,61.95,78,100,12.08,overcast clouds
224,Taoudenni,ML,22.6783,-3.9836,74.86,24,3,8.59,clear sky
225,Mar Del Plata,AR,-38.0023,-57.5575,63.09,90,0,11.99,clear sky
